"Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
20.4,14,5.6,0.8,"setosa"
19.6,12,5.6,0.8,"setosa"
18.8,12.8,5.2,0.8,"setosa"
18.4,12.4,6,0.8,"setosa"
20,14.4,5.6,0.8,"setosa"
21.6,15.6,6.8,1.6,"setosa"
18.4,13.6,5.6,1.2,"setosa"
20,13.6,6,0.8,"setosa"
17.6,11.6,5.6,0.8,"setosa"
19.6,12.4,6,0.4,"setosa"
21.6,14.8,6,0.8,"setosa"
19.2,13.6,6.4,0.8,"setosa"
19.2,12,5.6,0.4,"setosa"
17.2,12,4.4,0.4,"setosa"
23.2,16,4.8,0.8,"setosa"
22.8,17.6,6,1.6,"setosa"
21.6,15.6,5.2,1.6,"setosa"
20.4,14,5.6,1.2,"setosa"
22.8,15.2,6.8,1.2,"setosa"
20.4,15.2,6,1.2,"setosa"
21.6,13.6,6.8,0.8,"setosa"
20.4,14.8,6,1.6,"setosa"
18.4,14.4,4,0.8,"setosa"
20.4,13.2,6.8,2,"setosa"
19.2,13.6,7.6,0.8,"setosa"
20,12,6.4,0.8,"setosa"
20,13.6,6.4,1.6,"setosa"
20.8,14,6,0.8,"setosa"
20.8,13.6,5.6,0.8,"setosa"
18.8,12.8,6.4,0.8,"setosa"
19.2,12.4,6.4,0.8,"setosa"
21.6,13.6,6,1.6,"setosa"
20.8,16.4,6,0.4,"setosa"
22,16.8,5.6,0.8,"setosa"
19.6,12.4,6,0.8,"setosa"
20,12.8,4.8,0.8,"setosa"
22,14,5.2,0.8,"setosa"
19.6,14.4,5.6,0.4,"setosa"
17.6,12,5.2,0.8,"setosa"
20.4,13.6,6,0.8,"setosa"
20,14,5.2,1.2,"setosa"
18,9.2,5.2,1.2,"setosa"
17.6,12.8,5.2,0.8,"setosa"
20,14,6.4,2.4,"setosa"
20.4,15.2,7.6,1.6,"setosa"
19.2,12,5.6,1.2,"setosa"
20.4,15.2,6.4,0.8,"setosa"
18.4,12.8,5.6,0.8,"setosa"
21.2,14.8,6,0.8,"setosa"
20,13.2,5.6,0.8,"setosa"
28,12.8,18.8,5.6,"versicolor"
25.6,12.8,18,6,"versicolor"
27.6,12.4,19.6,6,"versicolor"
22,9.2,16,5.2,"versicolor"
26,11.2,18.4,6,"versicolor"
22.8,11.2,18,5.2,"versicolor"
25.2,13.2,18.8,6.4,"versicolor"
19.6,9.6,13.2,4,"versicolor"
26.4,11.6,18.4,5.2,"versicolor"
20.8,10.8,15.6,5.6,"versicolor"
20,8,14,4,"versicolor"
23.6,12,16.8,6,"versicolor"
24,8.8,16,4,"versicolor"
24.4,11.6,18.8,5.6,"versicolor"
22.4,11.6,14.4,5.2,"versicolor"
26.8,12.4,17.6,5.6,"versicolor"
22.4,12,18,6,"versicolor"
23.2,10.8,16.4,4,"versicolor"
24.8,8.8,18,6,"versicolor"
22.4,10,15.6,4.4,"versicolor"
23.6,12.8,19.2,7.2,"versicolor"
24.4,11.2,16,5.2,"versicolor"
25.2,10,19.6,6,"versicolor"
24.4,11.2,18.8,4.8,"versicolor"
25.6,11.6,17.2,5.2,"versicolor"
26.4,12,17.6,5.6,"versicolor"
27.2,11.2,19.2,5.6,"versicolor"
26.8,12,20,6.8,"versicolor"
24,11.6,18,6,"versicolor"
22.8,10.4,14,4,"versicolor"
22,9.6,15.2,4.4,"versicolor"
22,9.6,14.8,4,"versicolor"
23.2,10.8,15.6,4.8,"versicolor"
24,10.8,20.4,6.4,"versicolor"
21.6,12,18,6,"versicolor"
24,13.6,18,6.4,"versicolor"
26.8,12.4,18.8,6,"versicolor"
25.2,9.2,17.6,5.2,"versicolor"
22.4,12,16.4,5.2,"versicolor"
22,10,16,5.2,"versicolor"
22,10.4,17.6,4.8,"versicolor"
24.4,12,18.4,5.6,"versicolor"
23.2,10.4,16,4.8,"versicolor"
20,9.2,13.2,4,"versicolor"
22.4,10.8,16.8,5.2,"versicolor"
22.8,12,16.8,4.8,"versicolor"
22.8,11.6,16.8,5.2,"versicolor"
24.8,11.6,17.2,5.2,"versicolor"
20.4,10,12,4.4,"versicolor"
22.8,11.2,16.4,5.2,"versicolor"
25.2,13.2,24,10,"virginica"
23.2,10.8,20.4,7.6,"virginica"
28.4,12,23.6,8.4,"virginica"
25.2,11.6,22.4,7.2,"virginica"
26,12,23.2,8.8,"virginica"
30.4,12,26.4,8.4,"virginica"
19.6,10,18,6.8,"virginica"
29.2,11.6,25.2,7.2,"virginica"
26.8,10,23.2,7.2,"virginica"
28.8,14.4,24.4,10,"virginica"
26,12.8,20.4,8,"virginica"
25.6,10.8,21.2,7.6,"virginica"
27.2,12,22,8.4,"virginica"
22.8,10,20,8,"virginica"
23.2,11.2,20.4,9.6,"virginica"
25.6,12.8,21.2,9.2,"virginica"
26,12,22,7.2,"virginica"
30.8,15.2,26.8,8.8,"virginica"
30.8,10.4,27.6,9.2,"virginica"
24,8.8,20,6,"virginica"
27.6,12.8,22.8,9.2,"virginica"
22.4,11.2,19.6,8,"virginica"
30.8,11.2,26.8,8,"virginica"
25.2,10.8,19.6,7.2,"virginica"
26.8,13.2,22.8,8.4,"virginica"
28.8,12.8,24,7.2,"virginica"
24.8,11.2,19.2,7.2,"virginica"
24.4,12,19.6,7.2,"virginica"
25.6,11.2,22.4,8.4,"virginica"
28.8,12,23.2,6.4,"virginica"
29.6,11.2,24.4,7.6,"virginica"
31.6,15.2,25.6,8,"virginica"
25.6,11.2,22.4,8.8,"virginica"
25.2,11.2,20.4,6,"virginica"
24.4,10.4,22.4,5.6,"virginica"
30.8,12,24.4,9.2,"virginica"
25.2,13.6,22.4,9.6,"virginica"
25.6,12.4,22,7.2,"virginica"
24,12,19.2,7.2,"virginica"
27.6,12.4,21.6,8.4,"virginica"
26.8,12.4,22.4,9.6,"virginica"
27.6,12.4,20.4,9.2,"virginica"
23.2,10.8,20.4,7.6,"virginica"
27.2,12.8,23.6,9.2,"virginica"
26.8,13.2,22.8,10,"virginica"
26.8,12,20.8,9.2,"virginica"
25.2,10,20,7.6,"virginica"
26,12,20.8,8,"virginica"
24.8,13.6,21.6,9.2,"virginica"
23.6,12,20.4,7.2,"virginica"
